jungle,gold,5,4,combo,orb,jungle pack,false
anaconda snack,diamond,14,11,final,crushing blow,jungle pack,false
ape lost city,gold,4,11,final,protection,jungle pack,false
forbidden love,gold,13,6,final,curse,jungle pack,false
jungle welcoming,gold,11,7,final,absorb,jungle pack,false
last stand,diamond,5,19,final,protection,jungle pack,false
lion prince,gold,2,18,final,protection,jungle pack,false
maneaters,diamond,19,5,final,critical strike,jungle pack,false
mist monkey,gold,14,3,final,counter attack,jungle pack,false
outlandish royalty,diamond,15,6,final,absorb,jungle pack,false
pantor,gold,15,1,final,crushing blow,jungle pack,false
shrunken head,diamond,14,9,final,curse,jungle pack,false
vegas magicians,diamond,18,5,final,curse,jungle pack,false
zantar,diamond,10,12,final,crushing blow,jungle pack,false
