shrine,gold,4,5,combo,orb,shrine pack,false
amaterasu,diamond,19,5,final,critical strike,shrine pack,false
ancient technology,diamond,15,10,final,crushing blow,shrine pack,false
doom temple,gold,15,4,final,curse,shrine pack,false
evomon,diamond,15,7,final,absorb,shrine pack,false
festival feast,gold,5,10,final,curse,shrine pack,false
magpyre maiden,gold,13,7,final,absorb,shrine pack,false
majestic miko,diamond,15,10,final,crushing blow,shrine pack,false
sakura spirits,diamond,9,12,final,curse,shrine pack,false
shrinemasons,gold,15,1,final,crushing blow,shrine pack,false
stone effigy,gold,10,7,final,protection,shrine pack,false
three fates,diamond,13,10,final,absorb,shrine pack,false
veined castle,diamond,16,8,final,absorb,shrine pack,false
wishing mallet,gold,9,9,final,critical strike,shrine pack,false
