darkness,gold,6,3,combo,orb,the dark pack,false
chilling brina,gold,9,8,final,curse,the dark pack,false
devil's boy,gold,14,6,final,critical strike,the dark pack,false
eye eater,diamond,12,10,final,crushing blow,the dark pack,false
eyed feet man,diamond,15,9,final,absorb,the dark pack,false
fungi king,diamond,16,7,final,crushing blow,the dark pack,false
haunted doll,gold,15,1,final,curse,the dark pack,false
killer clown,gold,13,6,final,crushing blow,the dark pack,false
mothman,diamond,13,10,final,curse,the dark pack,false
puzzle cube head,diamond,17,8,final,critical strike,the dark pack,false
strange communicator,gold,1,14,final,protection,the dark pack,false
the dadabook,gold,10,8,final,absorb,the dark pack,false
viral dance,diamond,5,16,final,protection,the dark pack,false
wi-fi psychic,diamond,18,6,final,counter attack,the dark pack,false
