celebration,gold,7,2,combo,orb,anniversary pack,false
alchemical graduate,diamond,1,20,final,protection,anniversary pack,false
anna-versary,gold,9,6,final,curse,anniversary pack,false
ella-gant ball,gold,10,9,final,crushing blow,anniversary pack,false
everything is cake,diamond,16,7,final,crushing blow,anniversary pack,false
mecha chinzilla,diamond,19,6,final,critical strike,anniversary pack,false
moshing miles,gold,2,14,final,protection,anniversary pack,false
mr. pimm's wild ride,diamond,13,11,final,absorb,anniversary pack,false
party animal albert,diamond,18,6,final,crushing blow,anniversary pack,false
puffin' leopold,diamond,18,5,final,critical strike,anniversary pack,false
rampant lucy,gold,13,5,final,counter attack,anniversary pack,false
sniping queen,gold,13,4,final,critical strike,anniversary pack,false
vamping vera,diamond,15,7,final,critical strike,anniversary pack,false
xanthar the exultant,gold,12,8,final,absorb,anniversary pack,false
