wintertide,gold,2,7,combo,orb,wintertide pack,false
festive coral,gold,3,14,final,protection,wintertide pack,false
holiday blockbuster,diamond,17,7,final,critical strike,wintertide pack,false
stone hearth,diamond,3,20,final,protection,wintertide pack,false
ice explorers,gold,14,4,final,crushing blow,wintertide pack,false
gifted birds,gold,11,8,final,absorb,wintertide pack,false
ornamental pickle,diamond,12,9,final,absorb,wintertide pack,false
gelt,gold,9,6,final,counter attack,wintertide pack,false
cute carolers,gold,10,10,final,counter attack,wintertide pack,false
fairy light festival,diamond,14,8,final,counter attack,wintertide pack,false
chudolph the braindeer,diamond,15,10,final,crushing blow,wintertide pack,false
christmas spirits,diamond,16,8,final,curse,wintertide pack,false
krampus,diamond,23,3,final,counter attack,wintertide pack,false
tinselwebs,gold,7,9,final,absorb,wintertide pack,false
