hopefulness,gold,3,6,combo,orb,hope pack,false
relentless friend,gold,8,16,final,protection,hope pack,false
train doggo,diamond,17,7,final,crushing blow,hope pack,false
masked liberator,diamond,16,7,final,counter attack,hope pack,false
punch man,diamond,19,6,final,critical strike,hope pack,false
vaccine,gold,6,9,final,protection,hope pack,false
escape tunnel,gold,12,5,final,critical strike,hope pack,false
vacations,diamond,16,5,final,absorb,hope pack,false
the kneeling,gold,9,10,final,protection,hope pack,false
first car,gold,14,4,final,absorb,hope pack,false
hopeful robot,gold,14,6,final,crushing blow,hope pack,false
love crush,diamond,13,10,final,curse,hope pack,false
last day of school,diamond,11,11,final,critical strike,hope pack,false
scratch lottery,gold,11,5,final,counter attack,hope pack,false
