card,gold,6,3,combo,orb,meta pack,false
tarot reading,diamond,14,8,final,curse,meta pack,false
trading card,gold,13,7,final,crushing blow,meta pack,false
card soldiers,diamond,18,5,final,counter attack,meta pack,false
greeting card,gold,7,12,final,protection,meta pack,false
opal flower,diamond,17,6,final,critical strike,meta pack,false
haunted house of cards,diamond,18,8,final,curse,meta pack,false
man of many suits,gold,9,6,final,counter attack,meta pack,false
memory card,diamond,7,18,final,protection,meta pack,false
gone fishin',gold,6,11,final,protection,meta pack,false
white-eyed dragon,diamond,19,5,final,critical strike,meta pack,false
credit card,gold,9,9,final,curse,meta pack,false
royal flush,diamond,12,9,final,absorb,meta pack,false
the gambler,gold,8,8,final,crushing blow,meta pack,false
