arachnid,gold,6,3,combo,orb,arachnid pack,false
am5 spyder,diamond,17,6,final,critical strike,arachnid pack,false
arachnid dudette,diamond,20,4,final,absorb,arachnid pack,false
arachnid kid,diamond,18,8,final,critical strike,arachnid pack,false
horseshoe fossil,gold,5,11,final,protection,arachnid pack,false
muffet missy,gold,10,7,final,critical strike,arachnid pack,false
multiversal web,diamond,13,8,final,curse,arachnid pack,false
rune scorpion,diamond,2,20,final,protection,arachnid pack,false
skittering forest,gold,12,7,final,absorb,arachnid pack,false
spooky decorations,gold,8,7,final,curse,arachnid pack,false
steamtank spider,diamond,14,11,final,crushing blow,arachnid pack,false
trickster anansi,gold,15,5,final,critical strike,arachnid pack,false
whispering spymaster,diamond,16,6,final,counter attack,arachnid pack,false
wolf spider monkey,gold,12,6,final,curse,arachnid pack,false
