pirate,gold,7,2,combo,orb,arachnid pack,false
big mojo,diamond,20,4,final,curse,pirate pack,false
demon puncher,diamond,19,6,final,critical strike,pirate pack,false
giant anti-heroes,diamond,17,9,final,crushing blow,pirate pack,false
larcenous pets,diamond,17,5,final,critical strike,pirate pack,false
nautilus 20k,diamond,1,20,final,protection,pirate pack,false
off the map,diamond,18,5,final,counter attack,pirate pack,false
the fortune's cookie,diamond,13,10,final,absorb,pirate pack,false
barrage,gold,16,4,final,critical strike,pirate pack,false
cyber corsair,gold,9,6,final,crushing blow,pirate pack,false
dread pirate,gold,11,6,final,curse,pirate pack,false
feisty figurehead,gold,17,2,final,counter attack,pirate pack,false
treasure hunters,gold,5,13,final,protection,pirate pack,false
vampirate,gold,8,8,final,absorb,pirate pack,false
