atomic aftermath,gold,6,3,combo,orb,atomic aftermath pack,false
atomic burrito,diamond,20,2,final,critical strike,adventure pack,false
deathmaw,diamond,18,8,final,crushing blow,adventure pack,false
irraidiators,diamond,19,6,final,plunder,adventure pack,false
main character mutt,diamond,13,11,final,absorb,adventure pack,false
metallic fraternity,diamond,18,5,final,critical strike,adventure pack,false
nuclear wintertide,diamond,14,10,final,curse,adventure pack,false
utopia,diamond,0,21,final,protection,adventure pack,false
cherished collectibles,gold,18,2,final,plunder,adventure pack,false
ghouls and dolls,gold,13,3,final,counter attack,adventure pack,false
king of the heap,gold,12,6,final,critical strike,adventure pack,false
mystifying mutations,gold,8,7,final,curse,adventure pack,false
over stimulated,gold,9,8,final,crushing blow,adventure pack,false
unsettling settlers,gold,15,4,final,absorb,adventure pack,false
