portal,gold,7,2,combo,orb,portal pack,false
holiday nexus,diamond,1,20,final,protection,portal pack,false
fourth wall break,diamond,19,6,final,critical strike,portal pack,false
bottomless void,diamond,17,7,final,plunder,portal pack,false
portal mage,diamond,16,10,final,absorb,portal pack,false
mirror lake,diamond,15,9,final,curse,portal pack,false
rift battle royale,diamond,17,6,final,critical strike,portal pack,false
inhumane resourcer,diamond,12,10,final,crushing blow,portal pack,false
cryptic corridors,gold,10,8,final,counter attack,portal pack,false
plumbing nightmares,gold,6,10,final,protection,portal pack,false
war vortex,gold,17,0,final,plunder,portal pack,false
teleporter malfunction,gold,9,6,final,curse,portal pack,false
infinite storybook,gold,14,5,final,absorb,portal pack,false
summoning circle,gold,18,2,final,critical strike,portal pack,false
